;index;Unnamed: 0;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no;cond_name;alive_bool;status
78;39;39;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;40;453;968;[422,937,499,1000];2906.74;0.501628;3212.05;42;VinoLapa175Bini175;False;dead
79;40;40;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;41;2146;974;[2107,940,2166,998];2188.07;0.242846;1649.14;43;VinoLapa175Bini175;False;dead
80;41;41;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;42;199;1023;[170,993,235,1054];2447.82;0.550871;2702.08;44;VinoLapa175Bini175;False;dead
81;42;42;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;43;1602;1027;[1569,1002,1634,1053];3314.97;0.650916;2302.84;45;VinoLapa175Bini175;False;dead
82;43;43;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;44;1658;1049;[1619,1012,1714,1101];3122.57;0.711595;5150.77;46;VinoLapa175Bini175;True;alive
83;44;44;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;45;867;1072;[785,1026,901,1138];3711.77;0.537729;6970.26;47;VinoLapa175Bini175;False;dead
84;45;45;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;46;2087;1080;[2039,1036,2135,1126];2967.66;0.617947;5476.55;48;VinoLapa175Bini175;False;dead
85;46;46;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;47;51;1074;[12,1043,87,1108];2469.04;0.681406;3916.84;49;VinoLapa175Bini175;False;dead
86;47;47;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;48;648;1122;[581,1086,708,1157];2991.87;0.359895;5357.31;50;VinoLapa175Bini175;False;dead
88;49;49;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;50;1058;1239;[1024,1191,1106,1274];3394.56;0.613113;4472.59;53;VinoLapa175Bini175;False;dead
89;50;50;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;51;1923;1263;[1873,1212,1967,1307];2862.14;0.536625;5057.08;54;VinoLapa175Bini175;False;dead
90;51;51;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;52;1333;1277;[1299,1250,1360,1303];2741.49;0.534843;2250.67;55;VinoLapa175Bini175;False;dead
91;52;52;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;53;1760;1325;[1738,1301,1786,1356];2647.12;0.560958;1875.91;56;VinoLapa175Bini175;False;dead
92;53;53;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;54;827;1332;[790,1288,877,1365];3083.74;0.481818;3995.63;57;VinoLapa175Bini175;False;dead
93;54;54;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;55;447;1358;[409,1323,487,1394];2819.53;0.659446;3954.11;58;VinoLapa175Bini175;False;dead
94;55;55;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;56;1157;1387;[1122,1352,1198,1484];3123.33;0.630248;7190.64;59;VinoLapa175Bini175;False;dead
95;56;56;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;57;60;1407;[34,1380,99,1433];2376.02;0.63836;2480.63;60;VinoLapa175Bini175;False;dead
96;57;57;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;A24;1;24;1;1;58;513;1452;[464,1420,550,1484];2415.93;0.40285;3197.14;61;VinoLapa175Bini175;False;dead
