;index;Unnamed: 0;ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;mean_intensity;cell_round;cell_area;object_no;cond_name
105;37;37;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;38;1376;1099;[1253,1051,1414,1140];2526.05;0.452023;7316.27;42;Pos_ctrl
106;38;38;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;39;2022;1101;[1970,1079,2052,1188];2202.78;0.317482;3990.3;43;Pos_ctrl
107;39;39;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;40;114;1136;[59,1087,167,1197];2835.31;0.52113;7631.4;44;Pos_ctrl
108;40;40;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;41;916;1367;[873,1311,981,1420];2766.0;0.49193;7391.86;46;Pos_ctrl
109;41;41;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;42;147;1489;[109,1451,213,1559];2708.42;0.525988;7304.56;48;Pos_ctrl
110;42;42;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;43;1346;1496;[1326,1479,1391,1521];2339.05;0.405;1683.21;49;Pos_ctrl
111;43;43;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;44;1178;1518;[1140,1487,1231,1551];2544.82;0.543235;4507.72;50;Pos_ctrl
112;44;44;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;45;1519;1564;[1476,1517,1580,1606];2708.82;0.638216;6348.5;51;Pos_ctrl
113;45;45;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;46;1102;1647;[1039,1571,1180,1723];3061.71;0.542914;12385.1;52;Pos_ctrl
114;46;46;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;47;2108;1623;[2056,1581,2143,1683];2484.45;0.55743;6104.7;53;Pos_ctrl
115;47;47;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;48;920;1689;[895,1652,960,1726];2757.6;0.50939;2598.81;54;Pos_ctrl
116;48;48;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;49;440;1792;[395,1744,482,1836];2660.03;0.574061;5098.6;55;Pos_ctrl
117;49;49;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;50;163;1818;[131,1787,197,1856];2239.49;0.388379;2363.52;56;Pos_ctrl
118;50;50;210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;I22;9;22;1;1;51;961;1846;[935,1821,992,1891];2519.62;0.462784;2796.83;57;Pos_ctrl
