;;;"ScreenName;ScreenID;PlateName;PlateID;MeasurementDate;MeasurementID;WellName;Row;Column;Field;Timepoint;Object Number;X;Y;Bounding Box;Organoids Selected - Intensity Cell Channel2 Mean;Organoids Selected - Cell Roundness;Organoids Selected - Cell Area [µm²];Organoids Selected - Object No in Organoids"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;62;581;1516;[535";1475;631;"1559];2958.01;0.761821;6535.88;70"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;63;1372;1682;[1315";1583;1425;"1781];3192.47;0.698878;16180.5;72"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;64;767;1660;[707";1598;825;"1743];3841.42;0.858476;12609.7;73"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;65;1056;1810;[1001";1765;1103;"1850];2738.18;0.720205;6196.26;74"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;66;187;1884;[148";1837;231;"1933];2487.1;0.76115;6009.94;75"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;67;1583;1937;[1521";1878;1721;"2021];2898.93;0.645505;16938.6;76"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;68;403;2067;[378";2043;425;"2113];2419.55;0.672875;2499.8;77"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;69;2068;2159;[2038";2128;2100;"2189];2167.55;0.861289;2928.85;78"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;70;645;57;[614";30;674;"93];2466.63;0.339398;2072.87;80"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;71;1370;373;[1343";349;1400;"394];2486.86;0.355024;1403.21;81"
"210429_E21-002_RAS16-synergy;4255;CELLBIO-LAB009;4605;2021-04-29T14:00:02Z;4655;E22;5;22;1;1;72;798;963;[775";942;820;"984];2355.54;0.613687;1446.86;82"
